,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
"Block Group 2, Census Tract 13.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001301> block group:2",806,518,518,514,4,0,288
"Block Group 4, Census Tract 9, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000900> block group:4",2163,1358,1358,1266,92,0,805
"Block Group 2, Census Tract 51, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005100> block group:2",1371,914,914,880,34,0,457
"Block Group 1, Census Tract 45, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004500> block group:1",1351,716,716,690,26,0,635
"Block Group 1, Census Tract 5.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000501> block group:1",904,608,608,592,16,0,296
"Block Group 1, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:1",722,603,603,603,0,0,119
"Block Group 2, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:2",604,400,400,380,20,0,204
"Block Group 3, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:3",939,660,660,644,16,0,279
"Block Group 4, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:4",958,690,690,666,24,0,268
"Block Group 2, Census Tract 2, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000200> block group:2",1882,709,709,617,92,0,1173
"Block Group 1, Census Tract 4, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000400> block group:1",674,474,474,420,54,0,200
"Block Group 2, Census Tract 4, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000400> block group:2",1027,682,682,649,33,0,345
"Block Group 3, Census Tract 4, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000400> block group:3",2121,1077,1077,1017,60,0,1044
"Block Group 1, Census Tract 22, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002200> block group:1",1529,1116,1116,1044,72,0,413
"Block Group 2, Census Tract 22, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002200> block group:2",1259,747,747,730,17,0,512
"Block Group 3, Census Tract 22, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002200> block group:3",1142,560,545,532,13,15,582
"Block Group 2, Census Tract 14, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001400> block group:2",2158,1377,1377,1243,134,0,781
"Block Group 3, Census Tract 26, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002600> block group:3",1175,558,558,539,19,0,617
"Block Group 1, Census Tract 26, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002600> block group:1",780,465,465,418,47,0,315
"Block Group 2, Census Tract 26, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002600> block group:2",762,487,487,456,31,0,275
"Block Group 1, Census Tract 42.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004201> block group:1",2155,1199,1199,1138,61,0,956
"Block Group 4, Census Tract 38, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003800> block group:4",2252,1400,1400,1400,0,0,852
"Block Group 3, Census Tract 42.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004202> block group:3",1838,1319,1319,1319,0,0,519
"Block Group 4, Census Tract 44, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004400> block group:4",1607,690,690,690,0,0,917
"Block Group 2, Census Tract 42.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004201> block group:2",1744,1057,1057,996,61,0,687
"Block Group 1, Census Tract 44, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004400> block group:1",1389,801,801,746,55,0,588
"Block Group 2, Census Tract 44, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004400> block group:2",567,341,341,329,12,0,226
"Block Group 2, Census Tract 49, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004900> block group:2",2190,1445,1445,1394,51,0,745
"Block Group 2, Census Tract 50.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005002> block group:2",3045,2160,2160,2093,67,0,885
"Block Group 2, Census Tract 40.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004002> block group:2",813,475,475,465,10,0,338
"Block Group 2, Census Tract 37, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003700> block group:2",1130,793,793,763,30,0,337
"Block Group 4, Census Tract 47, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004700> block group:4",1684,998,998,998,0,0,686
"Block Group 3, Census Tract 33, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003300> block group:3",1190,602,602,583,19,0,588
"Block Group 2, Census Tract 33, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003300> block group:2",1118,501,501,458,43,0,617
"Block Group 1, Census Tract 33, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003300> block group:1",607,318,318,310,8,0,289
"Block Group 1, Census Tract 41.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004101> block group:1",3774,2504,2504,2448,56,0,1270
